Video_Name,Delivery_Type,Frame,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
ashwin off break 1.mp4,Off_Break,16,0.5183538794517517,0.2774641513824463,0.5107160210609436,0.2828594148159027
ashwin off break 1.mp4,Off_Break,21,0.5298085808753967,0.30498334765434265,0.5289947986602783,0.2872086763381958
ashwin off break 1.mp4,Off_Break,22,0.5210438966751099,0.29601311683654785,0.5131621956825256,0.2738266587257385
ashwin off break 1.mp4,Off_Break,23,0.5029374957084656,0.30679434537887573,0.4930628538131714,0.30049487948417664
ashwin off break 1.mp4,Off_Break,24,0.5451711416244507,0.29391735792160034,0.5456647276878357,0.32604891061782837
ashwin off break 1.mp4,Off_Break,25,0.5253639221191406,0.24824480712413788,0.5181286334991455,0.2756640315055847
ashwin off break 1.mp4,Off_Break,35,0.5869051814079285,0.5165657997131348,0.6054179668426514,0.5255672335624695
ashwin off break 1.mp4,Off_Break,36,0.5876145362854004,0.5116677284240723,0.5936821699142456,0.4816957712173462
ashwin off break 1.mp4,Off_Break,39,0.5158990621566772,0.2627253532409668,0.5251498222351074,0.31661269068717957
ashwin off break 1.mp4,Off_Break,40,0.5162566304206848,0.2286178171634674,0.5273892879486084,0.2899893522262573
ashwin off break 1.mp4,Off_Break,42,0.48021236062049866,0.8965440988540649,0.478387713432312,0.800377607345581
ashwin off break 1.mp4,Off_Break,44,0.48599499464035034,0.9211859703063965,0.4899747371673584,0.8442419767379761
ashwin off break 1.mp4,Off_Break,45,0.5321841835975647,0.31269371509552,0.5534486770629883,0.37459319829940796
ashwin off break 1.mp4,Off_Break,46,0.532680869102478,0.29442256689071655,0.5558831095695496,0.36155664920806885
ashwin off break 1.mp4,Off_Break,47,0.5588681101799011,0.719291090965271,0.5484558343887329,0.7135199308395386
ashwin off break 1.mp4,Off_Break,48,0.49471962451934814,0.6837224960327148,0.5152508020401001,0.6910480260848999
ashwin off break 1.mp4,Off_Break,54,0.5565035939216614,0.7465061545372009,0.5519335865974426,0.7392362952232361
ashwin off break 1.mp4,Off_Break,58,0.5277845859527588,0.4678128957748413,0.5261751413345337,0.45877331495285034
ashwin off break 1.mp4,Off_Break,63,0.2679460048675537,0.8585727214813232,0.2560093402862549,0.7999899983406067
ashwin off break 1.mp4,Off_Break,68,0.5103205442428589,0.5274040699005127,0.5149479508399963,0.4890340566635132
ashwin off break 1.mp4,Off_Break,69,0.4891889691352844,0.45156416296958923,0.4773661494255066,0.4349275231361389
ashwin off break 1.mp4,Off_Break,70,0.4873466491699219,0.4494767189025879,0.4798838198184967,0.4351162314414978
ashwin off break 1.mp4,Off_Break,71,0.19454030692577362,0.9623492956161499,0.19780142605304718,0.9200671315193176
ashwin off break 1.mp4,Off_Break,74,0.48054707050323486,0.4921357035636902,0.46882912516593933,0.4704979658126831
ashwin off break 1.mp4,Off_Break,77,0.4709468185901642,0.5380918383598328,0.46281811594963074,0.5027115345001221
ashwin off break 1.mp4,Off_Break,78,0.4808681309223175,0.5191258192062378,0.4818691611289978,0.4499257802963257
ashwin off break 1.mp4,Off_Break,79,0.4807986617088318,0.5162457227706909,0.48831701278686523,0.44688916206359863
ashwin off break 1.mp4,Off_Break,81,0.4796718955039978,0.5587596297264099,0.47170937061309814,0.5253204107284546
ashwin off break 1.mp4,Off_Break,82,0.48165982961654663,0.5506690740585327,0.4697549641132355,0.5168333649635315
ashwin off break 1.mp4,Off_Break,83,0.5095800757408142,0.39458954334259033,0.4696936309337616,0.4373779892921448
ashwin off break 1.mp4,Off_Break,84,0.4817987084388733,0.533025860786438,0.4678167402744293,0.49904364347457886
ashwin off break 1.mp4,Off_Break,85,0.46801888942718506,0.6100236773490906,0.4477260708808899,0.5677869915962219
ashwin off break 1.mp4,Off_Break,87,0.5306611061096191,0.48170244693756104,0.5079103708267212,0.44447657465934753
ashwin off break 1.mp4,Off_Break,88,0.5194433331489563,0.45035848021507263,0.502953827381134,0.3842707872390747
ashwin off break 1.mp4,Off_Break,89,0.5273057818412781,0.4594403803348541,0.5021029114723206,0.4025125205516815
ashwin off break 1.mp4,Off_Break,90,0.4989347457885742,0.5554940700531006,0.500230610370636,0.45208579301834106
ashwin off break 1.mp4,Off_Break,91,0.4886748194694519,0.5567702054977417,0.496305912733078,0.4583134055137634
ashwin off break 1.mp4,Off_Break,92,0.4845653474330902,0.5837745070457458,0.4980078339576721,0.4962272047996521
ashwin off break 1.mp4,Off_Break,93,0.48481494188308716,0.5821551084518433,0.49972963333129883,0.4971601366996765
ashwin off break 1.mp4,Off_Break,94,0.4930664300918579,0.5636652112007141,0.5010156035423279,0.5078134536743164
ashwin off break 1.mp4,Off_Break,95,0.47914955019950867,0.588380753993988,0.46468353271484375,0.5430120229721069
ashwin off break 1.mp4,Off_Break,96,0.47216513752937317,0.6382413506507874,0.4491400420665741,0.5894085168838501
ashwin off break 1.mp4,Off_Break,97,0.5416557788848877,0.5289224982261658,0.5010573267936707,0.4927445352077484
ashwin off break 1.mp4,Off_Break,98,0.8127992749214172,0.2146340012550354,0.8220134377479553,0.18164075911045074
ashwin off break 1.mp4,Off_Break,99,0.4723958373069763,0.5857003331184387,0.44448596239089966,0.5143917798995972
ashwin off break 1.mp4,Off_Break,100,0.4785555601119995,0.5802611708641052,0.44623395800590515,0.5151271224021912
ashwin off break 1.mp4,Off_Break,101,0.47514232993125916,0.5719640851020813,0.4481002986431122,0.5052945613861084
ashwin off break 1.mp4,Off_Break,102,0.4746048152446747,0.5740547180175781,0.4415174424648285,0.5066578388214111
